,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,3653882,R3O9SGZBVQBV76,B00FALQ1ZC,937001370,"Invicta Women's 15150 ""Angel"" 18k Yellow Gold Ion-Plated Stainless Steel and Brown Leather Watch",Watches,5,0,0,N,Y,Five Stars,Absolutely love this watch! Get compliments almost every time I wear it. Dainty.,2015-08-31
1,US,14661224,RKH8BNC3L5DLF,B00D3RGO20,484010722,Kenneth Cole New York Women's KC4944 Automatic Silver Automatic Mesh Bracelet Analog Watch,Watches,5,0,0,N,Y,I love thiswatch it keeps time wonderfully,I love this watch it keeps time wonderfully.,2015-08-31
2,US,27324930,R2HLE8WKZSU3NL,B00DKYC7TK,361166390,Ritche 22mm Black Stainless Steel Bracelet Watch Band Strap Pebble Time/Pebble Classic,Watches,2,1,1,N,Y,Two Stars,Scratches,2015-08-31
3,US,7211452,R31U3UH5AZ42LL,B000EQS1JW,958035625,Citizen Men's BM8180-03E Eco-Drive Stainless Steel Watch with Green Canvas Band,Watches,5,0,0,N,Y,Five Stars,"It works well on me. However, I found cheaper prices in other places after making the purchase",2015-08-31
4,US,12733322,R2SV659OUJ945Y,B00A6GFD7S,765328221,Orient ER27009B Men's Symphony Automatic Stainless Steel Black Dial Mechanical Watch,Watches,4,0,0,N,Y,"Beautiful face, but cheap sounding links","Beautiful watch face.  The band looks nice all around.  The links do make that squeaky cheapo noise when you swing it back and forth on your wrist which can be embarrassing in front of watch enthusiasts.  However, to the naked eye from afar, you can't tell the links are cheap or folded because it is well polished and brushed and the folds are pretty tight for the most part.<br /><br />I love the new member of my collection and it looks great.  I've had it for about a week and so far it has kept good time despite day 1 which is typical of a new mechanical watch",2015-08-31
5,US,6576411,RA51CP8TR5A2L,B00EYSOSE8,230493695,Casio Men's GW-9400BJ-1JF G-Shock Master of G Rangeman Digital Solar Black Carbon Fiber Insert Watch,Watches,5,0,0,N,Y,No complaints,"i love this watch for my purpose, about the people complaining should of done their research better before buying. dumb people.",2015-08-31
6,US,11811565,RB2Q7DLDN6TH6,B00WM0QA3M,549298279,Fossil Women's ES3851 Urban Traveler Multifunction Stainless Steel Watch - Rose,Watches,5,1,1,N,Y,Five Stars,"for my wife and she loved it, looks great and a great price!",2015-08-31
7,US,49401598,R2RHFJV0UYBK3Y,B00A4EYBR0,844009113,INFANTRY Mens Night Vision Analog Quartz Wrist Watch with Nato Nylon Watchband-Red.,Watches,1,1,5,N,N,I was about to buy this thinking it was a ...,I was about to buy this thinking it was a Swiss Army Infantry watch-- the description uses the words infantry and army--- when I realized it must be a fraud for $12.00. This should not be offered on Amazon-- it is designed to confuse consumers.,2015-08-31
8,US,45925069,R2Z6JOQ94LFHEP,B00MAMPGGE,263720892,G-Shock Men's Grey Sport Watch,Watches,5,1,2,N,Y,Perfect watch!,Watch is perfect. Rugged with the metal &#34;Bull Bars&#34;. The red accents are a great touch and I get compliments when wearing it. If you are worried about being able to read this in sunlight or in the dark don't! The LED ilumination works great! I might even get this in a different color for my next G-Shock purchase!,2015-08-31
9,US,44751341,RX27XIIWY5JPB,B004LBPB7Q,124278407,Heiden Quad Watch Winder in Black Leather,Watches,4,0,0,N,Y,Great quality and build,Great quality and build.<br />The motors are really silent.<br />After fiddling with the settings my watches are always charged and ready to use.,2015-08-31
10,US,9962330,R15C7QEZT0LGZN,B00KGTVGKS,28017857,Fossil Women's ES3621 Serena Crystal-Accented Two-Tone Stainless Steel Watch,Watches,4,2,2,N,Y,Satisfied,"The watch was pretty much as it was described and how it looks. I really like the simplicity of it and it looks pretty amazing. It is slightly too big, so I have yet to adjust it, but I'm glad it's too big rather than too small. The weight is good which is what I was hoping for. Very satisfied with this purchase. I was slightly on the fence getting this one because of the previous fossil watch I had, which by some time, did have some gems fall off from ring around the numbers, but so far so good with this one! Excuse my bad lighting for my pic.",2015-08-31
11,US,16097204,R361XSS37V0NCZ,B0039UT5OU,685450910,Casio General Men's Watches Sporty Digital AE-2000W-1AVDF - WW,Watches,1,0,0,N,N,I do not think this watch is a good product. Do not buy it,"I bought this watch on 2013, the screen had a problem 10 months later. I sent the watch back to Casio Service Center in LA, they sent to me a replacement new watch. Last week, less than one year after I received the new watch, the battery is out.  I went to a shop to replace the battery. Then the A button of the watch do not working, so I could not change the time and other settings. I do not think this watch is a good product. Do not buy it.",2015-08-31
12,US,51330346,ROTNLALUAJAUB,B00MPF0XJQ,767769082,2Tone Gold Silver Cable Band Ladies Bangle Cuff Watch,Watches,3,0,0,N,Y,Three Stars,It is a cheap watch that looks cheap.  There isn't much else to say.,2015-08-31
13,US,4201739,R2DYX7QU6BGOHR,B003P1OHHS,648595227,Bulova Men's 98B143 Precisionist Charcoal Grey Dial Bracelet Watch,Watches,5,0,0,N,Y,Five Stars,Heavier than i though,2015-08-31
14,US,26339765,RWASY7FKI7QOT,B00R70YEOE,457338020,Casio - G-Shock - Gulfmaster - Black - GWN1000C-1A,Watches,5,2,3,N,Y,Worth it - love it,"Had it for several weeks now and I love it - reliable, functional, wears easy, not too heavy.  I also get a lot of comments on it - great watch!",2015-08-31
15,US,2692576,R2KKYZIN3CCL21,B000FVE3BG,824370661,Invicta Men's 3329 Force Collection Lefty Watch,Watches,5,0,0,N,Y,This is when different is good.,This one is different from the rest of my Invictas. I like the big watches but this one gave a classy more defined look for the craftsmanship. All of the colors compliment each other. It all starts from the stitching of the band.  Very nice watch.,2015-08-31
16,US,44713366,R22H4FGVD5O52O,B008X6JB12,814431355,Seiko Women's SUT068 Dress Solar Classic Diamond-Accented Two-Tone Stainless Steel Watch,Watches,4,1,1,N,Y,Thewatch is attractive and easy to read,"The watch is attractive and easy to read, except for the date. The little diamonds are very, very tiny. All in all, I'm happy with it.",2015-08-31
17,US,32778769,R11UACZERCM4ZY,B0040UOFPW,187700878,Anne Klein Women's 109271MPTT Swarovski Crystal Accented Two-Tone Multi-Chain Bracelet Watch,Watches,5,0,0,N,Y,Five Stars,said my wife..,2015-08-31
18,US,27258523,R1AT8NQ38UQOL6,B00UR2R5UY,594315262,Guess U13630G1 Men's day and date Gunmetal dial Gunmetal tone bracelet,Watches,5,0,0,N,Y,Five Stars,"Nice watch, on time delivery from seller.",2015-08-31
19,US,42646538,R2NCZRQGIF1Q75,B00HFF57L0,520810507,Nixon Men's Geo Volt Sentry Stainless Steel Watch with Link Bracelet,Watches,4,0,0,N,Y,Very stylish,"Looks great and love to wear this watch.  Only negative thing is due to its blue/black colors, it is difficult to read in average or low light.  Good thing for me, I wear a watch for looks and not really for telling the time.",2015-08-31
20,US,46017899,RJ9HWWMU4IAHF,B00F5O06E6,601596859,Nautica Men's N14699G BFD 101 Chrono Classic Stainless Steel Watch with Brown Band,Watches,4,1,1,N,Y,Good looking watch,I really like this watch. It has a great face that contrasts nicely with the white numerals. Keeps time accurately. Overall very pleased. I really like its distinctive look. It's also durable and water proof. I leave it on when I go kayaking or out on the boat fishing.,2015-08-31
21,US,37192375,R3CNTCKG352GL1,B00CHS398I,798261110,HDE Watch Link Pin Remover Band Strap Repair Tool Kit for Watchmakers with Pack of 3 Extra Pins,Watches,4,0,0,N,Y,Works great but the watch a used it on was slim ...,Works great but the watch a used it on was slim so I had to use a quarter to rase it up the right height,2015-08-31
22,US,11710007,R9Q2LDSES6NBL,B003OQ4TA4,557813802,Timex Women's Q7B860 Padded Calfskin 8mm Black Replacement Watchband,Watches,4,0,0,N,Y,Fits perfect on my,Just what I needed for my Timex watch. Fits perfect on my wrist,2015-08-31
23,US,6673146,R3629T8HDV5VWU,B007X0SYEY,22870009,"Movado Men's 0606545 ""Museum"" Perforated Black-Rubber Strap Sport Watch",Watches,5,1,1,N,Y,Great Buy!,Absolutely LOVE this watch! Amazon prime saved me over $400 after tax from the store prices. Between the great buy and the Coolness of this watch it was an amazing purchase. I can't stop looking at it. Movado is an excellent brand. Time keeping is perfect. Quality is perfect.,2015-08-31
24,US,7899951,R2CLMKC0IVZ9UX,B005KPL7FM,269520616,Invicta Men's 6674 Corduba Chronograph Black Dial Polyurethane Watch,Watches,5,0,0,N,Y,Five Stars,Its too large. When you order check the size of the case.,2015-08-31
25,US,27979201,R2QGEJRU4ENYN2,B00FNIFI2O,330558574,Szanto Men's SZ 2001 2000 Series Classic Vintage-Inspired Stainless Steel Watch with Pebbled Leather Band,Watches,5,1,1,N,N,This was awatch I bought during a quick sale thing,"This was a watch I bought during a quick sale thing, so it was cheaper than normal.  I bought it as a daily wear.  It's really a decent watch for the price; a retro look with a modern movement.",2015-08-31
26,US,912779,R2E5STTYU6LTSC,B005JVP0FU,220345054,Casio Men's MRW200H-7EV Sport Resin Watch,Watches,4,0,0,N,Y,Four Stars,It works well with nice simple look.,2015-08-31
